iter	Logloss
0	0.6492730413
1	0.6088102589
2	0.5716194497
3	0.5352269653
4	0.505852614
5	0.4680250906
6	0.4373112968
7	0.4143021735
8	0.3888411377
9	0.3629059577
10	0.3396739626
11	0.3184961401
12	0.3008478221
13	0.2818007764
14	0.263607053
15	0.2475895072
16	0.2328497131
17	0.2174227208
18	0.206356959
19	0.1939674929
20	0.1834605775
21	0.1717136916
22	0.162550059
23	0.1549099146
24	0.1460447105
25	0.1375049257
26	0.1300674348
27	0.1235628803
28	0.1165865472
29	0.1099369144
30	0.1040621078
31	0.09814305127
32	0.09286466425
33	0.08744319626
34	0.08257590549
35	0.0779818785
36	0.07375792418
37	0.07012432383
38	0.06675183852
39	0.06350341804
40	0.06011460491
41	0.05726618232
42	0.05433739708
43	0.05155282847
44	0.04912242959
45	0.04665207881
46	0.04447315915
47	0.04260332975
48	0.04077588414
49	0.039101649
50	0.03746512129
51	0.03584439916
52	0.03451537772
53	0.03312111034
54	0.03159593613
55	0.0302633188
56	0.02909978875
57	0.02763916932
58	0.02666129244
59	0.02556230199
60	0.0244952864
61	0.02356000926
62	0.02257216245
63	0.02187323761
64	0.02099420632
65	0.0203136583
66	0.0195974017
67	0.01881722989
